Chr			Length
Chr01			58
Chr01			75
Chr01			81
Chr01			84
Chr01			86
Chr01			93
Chr01			94
Chr01			95
Chr01			95
Chr01			95
Chr01			96
Chr01			97
Chr01			99
Chr01			99
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			100
Chr01			101
Chr01			103
Chr01			104
Chr01			104
Chr01			104
Chr01			105
Chr01			105
Chr01			106
Chr01			106
Chr01			109
Chr01			112
Chr01			112
Chr01			112
Chr01			116
Chr01			116
Chr01			116
Chr01			117
Chr01			117
Chr01			119
Chr01			119
Chr01			120
Chr01			121
Chr01			123
Chr01			125
Chr01			130
Chr01			130
Chr01			133
Chr01			134
Chr01			135
Chr01			135
Chr01			136
Chr01			136
Chr01			138
Chr01			139
Chr01			140
Chr01			141
Chr01			141
Chr01			145
Chr01			146
Chr01			146
Chr01			146
Chr01			147
Chr01			149
Chr01			150
Chr01			150
Chr01			151
Chr01			154
Chr01			156
Chr01			159
Chr01			160
Chr01			160
Chr01			168
Chr01			170
Chr01			171
Chr01			181
Chr01			206
the total of Chr01 is 79


Chr02			50
Chr02			56
Chr02			65
Chr02			70
Chr02			85
Chr02			85
Chr02			86
Chr02			86
Chr02			87
Chr02			90
Chr02			90
Chr02			94
Chr02			95
Chr02			96
Chr02			96
Chr02			97
Chr02			97
Chr02			98
Chr02			98
Chr02			99
Chr02			99
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			100
Chr02			102
Chr02			105
Chr02			106
Chr02			106
Chr02			106
Chr02			108
Chr02			109
Chr02			111
Chr02			112
Chr02			112
Chr02			113
Chr02			114
Chr02			115
Chr02			116
Chr02			117
Chr02			121
Chr02			124
Chr02			128
Chr02			130
Chr02			136
Chr02			137
Chr02			140
Chr02			140
Chr02			141
Chr02			141
Chr02			142
Chr02			142
Chr02			143
Chr02			144
Chr02			144
Chr02			149
Chr02			160
Chr02			164
Chr02			166
Chr02			187
the total of Chr02 is 65


Chr03			63
Chr03			67
Chr03			69
Chr03			70
Chr03			78
Chr03			80
Chr03			86
Chr03			89
Chr03			91
Chr03			95
Chr03			95
Chr03			97
Chr03			98
Chr03			98
Chr03			98
Chr03			99
Chr03			99
Chr03			99
Chr03			99
Chr03			100
Chr03			100
Chr03			100
Chr03			100
Chr03			100
Chr03			100
Chr03			100
Chr03			102
Chr03			102
Chr03			102
Chr03			103
Chr03			104
Chr03			105
Chr03			106
Chr03			107
Chr03			108
Chr03			108
Chr03			108
Chr03			110
Chr03			110
Chr03			111
Chr03			113
Chr03			113
Chr03			114
Chr03			114
Chr03			114
Chr03			115
Chr03			116
Chr03			116
Chr03			116
Chr03			118
Chr03			118
Chr03			118
Chr03			119
Chr03			122
Chr03			123
Chr03			125
Chr03			126
Chr03			127
Chr03			131
Chr03			131
Chr03			136
Chr03			139
Chr03			140
Chr03			140
Chr03			141
Chr03			141
Chr03			143
Chr03			144
Chr03			145
Chr03			147
Chr03			147
Chr03			148
Chr03			148
Chr03			148
Chr03			149
Chr03			149
Chr03			150
Chr03			150
Chr03			152
Chr03			156
Chr03			156
Chr03			162
Chr03			164
Chr03			175
Chr03			177
Chr03			182
Chr03			188
Chr03			236
the total of Chr03 is 88


Chr04			74
Chr04			79
Chr04			86
Chr04			86
Chr04			89
Chr04			92
Chr04			93
Chr04			96
Chr04			96
Chr04			97
Chr04			98
Chr04			99
Chr04			99
Chr04			100
Chr04			100
Chr04			100
Chr04			100
Chr04			102
Chr04			102
Chr04			104
Chr04			104
Chr04			106
Chr04			106
Chr04			106
Chr04			110
Chr04			110
Chr04			115
Chr04			115
Chr04			117
Chr04			118
Chr04			118
Chr04			119
Chr04			121
Chr04			125
Chr04			125
Chr04			128
Chr04			128
Chr04			129
Chr04			135
Chr04			138
