CHR	start     	end       	length    
Chr01	260       	563       	303       
Chr01	378989    	379022    	33        
Chr01	517514    	517549    	35        
Chr01	522318    	522374    	56        
Chr01	528915    	528958    	43        
Chr01	1350443   	1350804   	361       
Chr01	1787471   	1787527   	56        
Chr01	2200924   	2204394   	3470      
Chr01	2516147   	2516720   	573       
Chr01	2701408   	53484746  	50783338  
Chr01	3161927   	40906660  	37744733  
Chr01	3459606   	3491013   	31407     
Chr01	3583253   	3583298   	45        
Chr01	3645183   	3645535   	352       
Chr01	3654500   	53482424  	49827924  
Chr01	3721205   	3723819   	2614      
Chr01	3736744   	3736775   	31        
Chr01	3740465   	3740701   	236       
Chr01	3746895   	3752241   	5346      
Chr01	3757111   	3757554   	443       
Chr01	4296268   	4296644   	376       
Chr01	4305069   	30289685  	25984616  
Chr01	4695113   	52220156  	47525043  
Chr01	5356585   	5360453   	3868      
Chr01	5395284   	5400349   	5065      
Chr01	5402072   	5402112   	40        
Chr01	5632087   	5632124   	37        
Chr01	5651035   	5651054   	19        
Chr01	5736959   	5736992   	33        
Chr01	5828175   	5835111   	6936      
Chr01	6242873   	6243253   	380       
Chr01	6334265   	6334336   	71        
Chr01	6406536   	6406560   	24        
Chr01	6419480   	6424000   	4520      
Chr01	6434456   	6437297   	2841      
Chr01	6477570   	6477605   	35        
Chr01	6500971   	6501058   	87        
Chr01	6791756   	6791922   	166       
Chr01	6792573   	6792598   	25        
Chr01	6895078   	53485032  	46589954  
Chr01	6905405   	6905454   	49        
Chr01	6965980   	6966007   	27        
Chr01	6990444   	6991576   	1132      
Chr01	7189535   	7208926   	19391     
Chr01	7421648   	21548100  	14126452  
Chr01	7522066   	7522515   	449       
Chr01	7583079   	7583101   	22        
Chr01	8523672   	8524050   	378       
Chr01	8593523   	8600210   	6687      
Chr01	8673606   	8673706   	100       
Chr01	9349697   	22900422  	13550725  
Chr01	9655563   	28467339  	18811776  
Chr01	10342462  	10419628  	77166     
Chr01	11017266  	11017607  	341       
Chr01	11076374  	11076665  	291       
Chr01	11749474  	11754700  	5226      
Chr01	11778532  	11786011  	7479      
Chr01	11870547  	11870624  	77        
Chr01	11876608  	11876925  	317       
Chr01	11889062  	11918311  	29249     
Chr01	11957257  	11957956  	699       
Chr01	11965644  	11965975  	331       
Chr01	11980563  	11981557  	994       
Chr01	12076894  	12077848  	954       
Chr01	12088500  	12094279  	5779      
Chr01	12113663  	12143840  	30177     
Chr01	12114344  	12288025  	173681    
Chr01	12114471  	12338484  	224013    
Chr01	12114844  	12288026  	173182    
Chr01	12126840  	12126891  	51        
Chr01	12130846  	12232746  	101900    
Chr01	12313140  	12313471  	331       
Chr01	12328390  	12328449  	59        
Chr01	12373509  	12382846  	9337      
Chr01	12421542  	12421622  	80        
Chr01	12426244  	12447085  	20841     
Chr01	12428672  	12428696  	24        
Chr01	12442255  	12446101  	3846      
Chr01	12479438  	12479562  	124       
Chr01	12487901  	12487928  	27        
Chr01	12534643  	12535033  	390       
Chr01	12542194  	12542610  	416       
Chr01	12547512  	12547858  	346       
Chr01	12814633  	12814670  	37        
Chr01	12828217  	12829455  	1238      
Chr01	12831513  	12838117  	6604      
Chr01	12997385  	12997706  	321       
Chr01	13108636  	13108679  	43        
Chr01	13144133  	13144489  	356       
Chr01	13271291  	13276670  	5379      
Chr01	13316616  	13316651  	35        
Chr01	13415271  	13415557  	286       
Chr01	13473156  	13473550  	394       
Chr01	13537980  	13547443  	9463      
Chr01	13628990  	13629702  	712       
Chr01	13675528  	13677259  	1731      
Chr01	13676229  	13676619  	390       
Chr01	13676880  	13677240  	360       
Chr01	13703741  	13704062  	321       
