Chr     Start       End    Length
Chr01    340089  39913497  39573408
Chr01   1400166   1400855       689
Chr01   1821728   4502238   2680510
Chr01   2166451   8552094   6385643
Chr01   4208852  13315056   9106204
Chr01   4966819  12830487   7863668
Chr01   5310327  40852084  35541757
Chr01   6159489  34654025  28494536
Chr01   6486115  13756168   7270053
Chr01   6954501  36711642  29757141
Chr01   7150014  35142447  27992433
Chr01   7695328   7696120       792
Chr01   7754977   7755214       237
Chr01   7916931  16733806   8816875
Chr01   8229802  18133332   9903530
Chr01   8571755  11724556   3152801
Chr01   9033713  55698771  46665058
Chr01   9056364  56484372  47428008
Chr01   9119431   9127180      7749
Chr01  10124516  48200159  38075643
Chr01  10124649  48200029  38075380
Chr01  10410362  22075856  11665494
Chr01  10540297  30094804  19554507
Chr01  11076326  41990846  30914520
Chr01  12034472  25863869  13829397
Chr01  12200954  15385339   3184385
Chr01  12959026  13341928    382902
Chr01  16582550  23279506   6696956
Chr01  16674413  35766860  19092447
Chr01  17624449  19187104   1562655
Chr01  17719304  28988158  11268854
Chr01  18009946  31231131  13221185
Chr01  18039040  22007064   3968024
Chr01  18065875  21228442   3162567
Chr01  19588277  21335651   1747374
Chr01  20141886  41384748  21242862
Chr01  21054324  22430170   1375846
Chr01  21319170  36481655  15162485
Chr01  21751515  38275280  16523765
Chr01  21870010  21926928     56918
Chr01  22406988  42621354  20214366
Chr01  24912305  40906714  15994409
Chr01  25489741  25489914       173
Chr01  26756828  35975673   9218845
Chr01  28409863  31374996   2965133
Chr01  29522326  35766913   6244587
Chr01  30191487  53488128  23296641
Chr01  30619628  33046657   2427029
Chr01  30914436  32152933   1238497
Chr01  31624513  39579002   7954489
Chr01  31654386  53488684  21834298
Chr01  31654619  53488632  21834013
Chr01  32734796  40781511   8046715
Chr01  32735003  49097284  16362281
Chr01  32987560  46503689  13516129
Chr01  32987730  46503853  13516123
Chr01  33858589  46503599  12645010
Chr01  34358099  53211510  18853411
Chr01  34690599  37065506   2374907
Chr01  35648126  55374739  19726613
Chr01  35678293  53489536  17811243
Chr01  35678526  53489364  17810838
Chr01  37164672  37196500     31828
Chr01  39579405  49097278   9517873
Chr01  40222866  56248914  16026048
Chr01  42485258  42496148     10890
Chr01  42494768  42773512    278744
Chr01  46197367  50414286   4216919
Chr01  46505219  46505484       265
Chr01  53489319  55393024   1903705
Chr02   1387879  45030917  43643038
Chr02   3175267  27514659  24339392
Chr02   3332797  41565405  38232608
Chr02   4312686   4312854       168
Chr02   4901760  36616975  31715215
Chr02   5229718   5249739     20021
Chr02   6621746  24257866  17636120
Chr02   9121196  32694103  23572907
Chr02   9378468  36181178  26802710
Chr02  11259307  13759374   2500067
Chr02  17611274  17611391       117
Chr02  18018322  27125254   9106932
Chr02  18493250  29376674  10883424
Chr02  18778359  23340136   4561777
Chr02  18778475  23340063   4561588
Chr02  19823907  20256511    432604
Chr02  20528518  25026325   4497807
Chr02  21373568  33383715  12010147
Chr02  22482296  25654863   3172567
Chr02  23935684  38975733  15040049
Chr02  25434479  27981703   2547224
Chr02  27232450  32352025   5119575
Chr02  28860995  37468728   8607733
Chr02  31751725  34850340   3098615
Chr02  37406194  38929803   1523609
Chr02  45689013  45689315       302
Chr03     51668     53487      1819
Chr03   2068546   2263422    194876
Chr03   2615817   2658189     42372
Chr03   2617908   2657163     39255
Chr03   3059022   8796056   5737034
Chr03   3060586   8781475   5720889
Chr03   3270238  36087740  32817502
Chr03   3439494  33402261  29962767
Chr03   3439569  33402051  29962482
Chr03   3783890  18140337  14356447
Chr03   3784019  18140648  14356629
Chr03   3784020  18165128  14381108
Chr03   4028983   4054678     25695
Chr03   4029665   4200150    170485
Chr03   4044461   4169890    125429
Chr03   4075707   4877185    801478
Chr03   4123413   4794290    670877
Chr03   4123521   4794265    670744
Chr03   4123910   4831482    707572
Chr03   4125656   4914053    788397
Chr03   4149550   4934097    784547
Chr03   4158909   4874730    715821
Chr03   4169921   4802370    632449
Chr03   4170095   4802298    632203
Chr03   4199736   4597679    397943
Chr03   4200133   4794371    594238
Chr03   4200877   4855047    654170
Chr03   4201027   4793341    592314
Chr03   4218166   4904563    686397
Chr03   4219049   4903912    684863
Chr03   4332967  33315075  28982108
Chr03   7127654   7424769    297115
Chr03   7264577  20382803  13118226
Chr03   7264673  20382857  13118184
Chr03   9131151  19519514  10388363
Chr03   9326674   9326844       170
Chr03   9735575   9744317      8742
Chr03  10036954  39658284  29621330
Chr03  10217537  16587671   6370134
Chr03  10243680  32538543  22294863
Chr03  10918433  10921586      3153
Chr03  11540642  24083979  12543337
Chr03  11566597  11775247    208650
Chr03  11998223  15673941   3675718
Chr03  12217110  22025668   9808558
Chr03  12873783  27380082  14506299
Chr03  13091318  15959493   2868175
Chr03  13383428  15871284   2487856
Chr03  13800618  35021539  21220921
Chr03  14028541  34792108  20763567
Chr03  14096457  41744726  27648269
Chr03  14767572  14777678     10106
Chr03  14774500  14777896      3396
Chr03  16089540  20848557   4759017
Chr03  16116308  21349749   5233441
Chr03  18246323  28121923   9875600
Chr03  18246570  28122010   9875440
Chr03  20169475  24319152   4149677
Chr03  21676460  25159457   3482997
Chr03  21827847  35147331  13319484
Chr03  22217655  25061779   2844124
Chr03  23588135  24740598   1152463
Chr03  25222207  32872861   7650654
Chr03  26254406  37773275  11518869
Chr03  28610932  45433848  16822916
Chr03  28823241  40027208  11203967
Chr03  31649627  43902251  12252624
Chr03  34307319  34371184     63865
Chr03  35354466  35355194       728
Chr03  36256556  41795829   5539273
Chr03  38053610  38090440     36830
Chr03  38053805  38090233     36428
Chr03  40584332  42524733   1940401
Chr04   1062534  12472830  11410296
Chr04   2580534  27205487  24624953
Chr04   3109907   3110234       327
Chr04   4585828  45270882  40685054
Chr04   7411530  16076773   8665243
Chr04   9573826  33841832  24268006
Chr04   9573987  33841968  24267981
Chr04   9589842   9833084    243242
Chr04   9590630   9832011    241381
Chr04  10140279  10330859    190580
Chr04  10317937  34337898  24019961
Chr04  10354080  10355343      1263
Chr04  10637041  11071887    434846
Chr04  11554216  50581743  39027527
Chr04  11767818  15031506   3263688
Chr04  11820730  11823415      2685
Chr04  11823909  18397905   6573996
Chr04  11824122  18397726   6573604
Chr04  12716328  33798439  21082111
Chr04  13052371  13170680    118309
Chr04  13591750  41503598  27911848
Chr04  15617446  15617599       153
Chr04  16157770  20561763   4403993
Chr04  16842173  16842410       237
Chr04  18031402  21126214   3094812
Chr04  18647495  39755399  21107904
Chr04  19182288  27327713   8145425
Chr04  19712869  20140940    428071
Chr04  20001472  20001637       165
Chr04  20035647  39089441  19053794
Chr04  20035754  39089292  19053538
Chr04  20114877  22027896   1913019
Chr04  20115069  22027793   1912724
Chr04  21378749  43454763  22076014
Chr04  21577735  26029750   4452015
Chr04  21577735  26030878   4453143
Chr04  21578104  25947594   4369490
Chr04  21578220  26026773   4448553
Chr04  21822364  22743284    920920
Chr04  21954379  25562085   3607706
Chr04  21954456  25561288   3606832
Chr04  22031936  40966156  18934220
Chr04  22153871  39136878  16983007
Chr04  22237559  30683621   8446062
Chr04  22302000  32466960  10164960
Chr04  23060212  31947301   8887089
Chr04  23166198  43723445  20557247
Chr04  23166202  39247276  16081074
Chr04  24538921  32313436   7774515
Chr04  24637382  33520498   8883116
Chr04  24677076  29715883   5038807
Chr04  25558844  43422918  17864074
Chr04  25563450  43423044  17859594
Chr04  25894821  37439809  11544988
Chr04  25944067  35343648   9399581
Chr04  25975065  35343542   9368477
Chr04  26915616  34331839   7416223
Chr04  27550662  49938938  22388276
Chr04  28724395  29301847    577452
Chr04  29906833  33399525   3492692
Chr04  30670432  34134957   3464525
Chr04  31183375  41135593   9952218
Chr04  33842141  50860162  17018021
Chr04  33842234  33842376       142
Chr04  33843190  49313369  15470179
Chr04  33843691  33843873       182
Chr04  35074965  35075181       216
Chr04  37525091  38225035    699944
Chr04  38321130  44149021   5827891
Chr04  40286420  42967247   2680827
Chr04  41597892  41861778    263886
Chr04  41598102  42257591    659489
Chr04  42257796  42263660      5864
Chr04  46272626  46295512     22886
Chr04  46497843  46498010       167
Chr04  47465035  47833928    368893
Chr05   3703954  40466404  36762450
Chr05   4606515  31581794  26975279
Chr05   4917957  26781986  21864029
Chr05   5024543  36073044  31048501
Chr05   5753357  34732029  28978672
Chr05   5753594  34732035  28978441
Chr05   6758494  15000879   8242385
Chr05   7920115  12908723   4988608
Chr05   8974908  21734953  12760045
Chr05   9503134  29396209  19893075
Chr05  10510264  25213078  14702814
Chr05  10581875  10582081       206
Chr05  12624717  28964240  16339523
Chr05  13816739  23292175   9475436
Chr05  14104585  17876462   3771877
Chr05  14498718  29429625  14930907
Chr05  14965907  14966030       123
Chr05  14966069  37664226  22698157
Chr05  16230733  16943416    712683
Chr05  16230742  16939702    708960
Chr05  16251876  16945911    694035
Chr05  16253859  16943247    689388
Chr05  16253987  16941782    687795
Chr05  16254017  16731479    477462
Chr05  16261770  16943446    681676
Chr05  16261856  16961922    700066
Chr05  16262627  16946290    683663
Chr05  16270144  16945670    675526
Chr05  16274355  16943649    669294
