CHR	start     	end       	length    	
Chr01	2215073   	2215074   	100       
Chr01	2336543   	2336544   	105       
Chr01	2577670   	2577800   	130       
Chr01	3650517   	3650518   	146       
Chr01	6738585   	6738681   	96        
Chr01	6798484   	6798634   	150       
Chr01	6805898   	6806037   	139       
Chr01	7615338   	7615339   	95        
Chr01	7647556   	7647707   	151       
Chr01	10035938  	10036038  	100       
Chr01	11737696  	11737800  	104       
Chr01	12023877  	12023980  	103       
Chr01	12082204  	12082205  	130       
Chr01	12086056  	12086192  	136       
Chr01	12357173  	12357289  	116       
Chr01	12572099  	12572100  	160       
Chr01	16785203  	16785204  	145       
Chr01	16876014  	16876161  	147       
Chr01	16990462  	16990463  	168       
Chr01	17004531  	17004643  	112       
Chr01	17123094  	17123232  	138       
Chr01	17475562  	17475711  	149       
Chr01	17488350  	17488351  	150       
Chr01	17759768  	17759885  	117       
Chr01	19956767  	19956872  	105       
Chr01	20890952  	20890953  	181       
Chr01	21766662  	21766833  	171       
Chr01	22906026  	22906135  	109       
Chr01	23628171  	23628172  	140       
Chr01	27158306  	27158407  	101       
Chr01	27260523  	27260524  	159       
Chr01	27298891  	27298892  	120       
Chr01	33854817  	33854921  	104       
Chr01	33987449  	33987450  	94        
Chr01	35288629  	35288835  	206       
Chr01	35366104  	35366234  	130       
Chr01	36215071  	36215072  	121       
Chr01	36999713  	36999714  	97        
Chr01	37411049  	37411149  	100       
Chr01	37446364  	37446445  	81        
Chr01	39037362  	39037363  	160       
Chr01	39101015  	39101161  	146       
Chr01	39403521  	39403522  	104       
Chr01	39430162  	39430262  	100       
Chr01	39679842  	39679941  	99        
Chr01	39713157  	39713158  	136       
Chr01	39845874  	39845875  	116       
Chr01	40168003  	40168109  	106       
Chr01	40222902  	40223056  	154       
Chr01	40258377  	40258510  	133       
Chr01	40302404  	40302510  	106       
Chr01	42762177  	42762178  	156       
Chr01	42906968  	42906969  	119       
Chr01	42923098  	42923191  	93        
Chr01	43902720  	43902837  	117       
Chr01	47922913  	47923025  	112       
Chr01	48243637  	48243737  	100       
Chr01	48264412  	48264413  	100       
Chr01	48484096  	48484097  	99        
Chr01	48828197  	48828309  	112       
Chr01	49479298  	49479299  	135       
Chr01	49953037  	49953038  	141       
Chr01	50672232  	50672348  	116       
Chr01	50763013  	50763014  	86        
Chr01	50805852  	50805952  	100       
Chr01	51624131  	51624301  	170       
Chr01	52629145  	52629146  	134       
Chr01	52741396  	52741397  	119       
Chr01	52779688  	52779788  	100       
Chr01	54120944  	54121085  	141       
Chr01	54794404  	54794405  	100       
Chr01	55162748  	55162894  	146       
Chr01	55242799  	55242800  	84        
Chr01	55292244  	55292245  	95        
Chr01	55335322  	55335397  	75        
Chr01	56223916  	56223917  	125       
Chr01	56537912  	56538007  	95        
Chr01	56602256  	56602314  	58        
Chr01	56780575  	56780576  	135       
Chr01	56805290  	56805413  	123       
Chr02	353085    	353206    	121       
Chr02	687302    	687303    	100       
Chr02	984356    	984357    	70        
Chr02	2684738   	2684834   	96        
Chr02	3197624   	3197761   	137       
Chr02	3519046   	3519047   	116       
Chr02	3590087   	3590247   	160       
Chr02	3618125   	3618219   	94        
Chr02	3618611   	3618612   	100       
Chr02	3627194   	3627299   	105       
Chr02	3923977   	3924164   	187       
Chr02	4185513   	4185514   	108       
Chr02	4451919   	4452009   	90        
Chr02	4611094   	4611095   	99        
Chr02	4944335   	4944478   	143       
Chr02	5297526   	5297662   	136       
Chr02	5516618   	5516619   	144       
Chr02	5896733   	5896863   	130       
Chr02	6011994   	6012091   	97        
Chr02	6993631   	6993696   	65        
Chr02	7165550   	7165551   	112       
Chr02	7287297   	7287383   	86        
Chr02	7420589   	7420590   	100       
Chr02	8026981   	8026982   	124       
Chr02	8392443   	8392541   	98        
Chr02	9489685   	9489686   	99        
Chr02	10592810  	10592811  	85        
Chr02	10721014  	10721158  	144       
Chr02	11724475  	11724476  	149       
Chr02	11899355  	11899455  	100       
Chr02	12287904  	12287994  	90        
Chr02	13974593  	13974708  	115       
Chr02	14256015  	14256016  	95        
Chr02	14554844  	14555010  	166       
Chr02	14675733  	14675833  	100       
Chr02	15569791  	15569792  	164       
Chr02	15590949  	15591090  	141       
Chr02	19104791  	19104792  	106       
Chr02	20681530  	20681670  	140       
Chr02	26025256  	26025354  	98        
Chr02	27658727  	27658868  	141       
Chr02	29594865  	29594866  	114       
Chr02	31065632  	31065732  	100       
Chr02	36452239  	36452240  	142       
Chr02	39435764  	39435820  	56        
Chr02	39634301  	39634418  	117       
Chr02	40718761  	40718762  	86        
Chr02	41363727  	41363728  	100       
Chr02	41382670  	41382720  	50        
Chr02	41457229  	41457329  	100       
Chr02	42488034  	42488035  	97        
Chr02	42667085  	42667194  	109       
Chr02	42737152  	42737265  	113       
Chr02	43108219  	43108220  	87        
Chr02	43166500  	43166585  	85        
Chr02	45662926  	45662927  	140       
Chr02	46030483  	46030484  	106       
Chr02	47055257  	47055368  	111       
Chr02	47107365  	47107366  	100       
Chr02	47144190  	47144286  	96        
Chr02	47198894  	47199000  	106       
Chr02	47235673  	47235674  	102       
Chr02	47720208  	47720350  	142       
Chr02	47856731  	47856843  	112       
Chr02	47862343  	47862471  	128       
Chr03	246209    	246210    	114       
Chr03	335554    	335654    	100       
Chr03	382955    	382956    	100       
Chr03	410430    	410431    	102       
Chr03	714624    	714722    	98        
Chr03	1437790   	1437791   	63        
Chr03	1887135   	1887136   	116       
Chr03	2205273   	2205417   	144       
Chr03	2310750   	2310900   	150       
Chr03	2312291   	2312382   	91        
Chr03	2322809   	2322904   	95        
Chr03	2494651   	2494652   	156       
Chr03	2932504   	2932505   	140       
Chr03	2949975   	2950093   	118       
Chr03	3395643   	3395741   	98        
Chr03	4700983   	4701139   	156       
Chr03	5099327   	5099474   	147       
Chr03	5229091   	5229092   	95        
Chr03	5307508   	5307509   	80        
Chr03	5537711   	5537852   	141       
Chr03	5697731   	5697732   	119       
Chr03	6366548   	6366549   	188       
Chr03	6679048   	6679193   	145       
Chr03	7798566   	7798567   	104       
Chr03	7994462   	7994532   	70        
Chr03	8424159   	8424266   	107       
Chr03	9409645   	9409646   	78        
Chr03	9808630   	9808631   	149       
Chr03	10275738  	10275860  	122       
Chr03	10559446  	10559543  	97        
Chr03	11701113  	11701215  	102       
Chr03	11923262  	11923405  	143       
Chr03	13578259  	13578260  	111       
Chr03	14767292  	14767293  	115       
Chr03	15211235  	15211383  	148       
Chr03	16847343  	16847344  	148       
Chr03	29122439  	29122621  	182       
Chr03	29434870  	29434978  	108       
Chr03	32689483  	32689484  	147       
Chr03	32902027  	32902096  	69        
