Chr			Length
Chr01			17
Chr01			19
Chr01			19
Chr01			20
Chr01			21
Chr01			21
Chr01			22
Chr01			23
Chr01			23
Chr01			23
Chr01			23
Chr01			24
Chr01			24
Chr01			24
Chr01			24
Chr01			24
Chr01			25
Chr01			25
Chr01			25
Chr01			25
Chr01			25
Chr01			25
Chr01			25
Chr01			26
Chr01			26
Chr01			27
Chr01			27
Chr01			27
Chr01			27
Chr01			27
Chr01			28
Chr01			29
Chr01			29
Chr01			30
Chr01			31
Chr01			31
Chr01			31
Chr01			31
Chr01			31
Chr01			33
Chr01			33
Chr01			33
Chr01			33
Chr01			33
Chr01			35
Chr01			35
Chr01			35
Chr01			35
Chr01			36
Chr01			37
Chr01			37
Chr01			37
Chr01			37
Chr01			37
Chr01			40
Chr01			40
Chr01			41
Chr01			42
Chr01			43
Chr01			43
Chr01			43
Chr01			43
Chr01			45
Chr01			45
Chr01			45
Chr01			45
Chr01			47
Chr01			47
Chr01			47
Chr01			49
Chr01			49
Chr01			49
Chr01			49
Chr01			51
Chr01			51
Chr01			51
Chr01			52
Chr01			52
Chr01			53
Chr01			54
Chr01			54
Chr01			54
Chr01			55
Chr01			55
Chr01			55
Chr01			56
Chr01			56
Chr01			56
Chr01			56
Chr01			57
Chr01			58
Chr01			58
Chr01			58
Chr01			59
Chr01			59
Chr01			60
Chr01			62
Chr01			63
Chr01			63
Chr01			63
Chr01			63
Chr01			64
Chr01			65
Chr01			67
Chr01			69
Chr01			70
Chr01			71
Chr01			71
Chr01			73
Chr01			74
Chr01			75
Chr01			77
Chr01			78
Chr01			78
Chr01			80
Chr01			80
Chr01			80
Chr01			82
Chr01			85
Chr01			85
Chr01			86
Chr01			87
Chr01			87
Chr01			87
Chr01			88
Chr01			90
Chr01			90
Chr01			91
Chr01			94
Chr01			94
Chr01			99
Chr01			100
Chr01			100
Chr01			100
Chr01			101
Chr01			104
Chr01			106
Chr01			107
Chr01			112
Chr01			113
Chr01			114
Chr01			114
Chr01			115
Chr01			120
Chr01			121
Chr01			123
Chr01			124
Chr01			129
Chr01			131
Chr01			132
Chr01			133
Chr01			133
Chr01			134
Chr01			147
Chr01			151
Chr01			153
Chr01			153
Chr01			153
Chr01			160
Chr01			160
Chr01			166
Chr01			178
Chr01			178
Chr01			185
Chr01			187
Chr01			197
Chr01			200
Chr01			205
Chr01			211
Chr01			222
Chr01			224
Chr01			226
Chr01			236
Chr01			247
Chr01			252
Chr01			260
Chr01			262
Chr01			277
Chr01			286
Chr01			291
Chr01			299
Chr01			300
Chr01			300
Chr01			301
Chr01			301
Chr01			303
Chr01			303
Chr01			304
Chr01			305
Chr01			306
Chr01			307
Chr01			310
Chr01			311
Chr01			311
Chr01			315
Chr01			316
Chr01			316
Chr01			317
Chr01			318
