CHR	start     	end       	length    
Chr01	258       	561       	303       
Chr01	378991    	379024    	33        
Chr01	517509    	517544    	35        
Chr01	522319    	522375    	56        
Chr01	528915    	528958    	43        
Chr01	1350443   	1350804   	361       
Chr01	1787480   	1787536   	56        
Chr01	2200923   	2204393   	3470      
Chr01	2516149   	2516722   	573       
Chr01	2701411   	53484749  	50783338  
Chr01	3161924   	40906657  	37744733  
Chr01	3459606   	3491013   	31407     
Chr01	3583251   	3583296   	45        
Chr01	3645180   	3645532   	352       
Chr01	3654504   	53482428  	49827924  
Chr01	3721205   	3723819   	2614      
Chr01	3736748   	3736779   	31        
Chr01	3740461   	3740697   	236       
Chr01	3746889   	3752235   	5346      
Chr01	3757105   	3757548   	443       
Chr01	4031029   	44433846  	40402817  
Chr01	4296309   	4296685   	376       
Chr01	4305041   	30289657  	25984616  
Chr01	4695112   	52220155  	47525043  
Chr01	5356625   	5360493   	3868      
Chr01	5395258   	5400323   	5065      
Chr01	5402066   	5402106   	40        
Chr01	5632079   	5632116   	37        
Chr01	5651042   	5651061   	19        
Chr01	5736951   	5736984   	33        
Chr01	5828181   	5835117   	6936      
Chr01	6242875   	6243255   	380       
Chr01	6334257   	6334328   	71        
Chr01	6406548   	6406572   	24        
Chr01	6419505   	6424025   	4520      
Chr01	6434424   	6437265   	2841      
Chr01	6477574   	6477609   	35        
Chr01	6500969   	6501056   	87        
Chr01	6791752   	6791918   	166       
Chr01	6792610   	6792635   	25        
Chr01	6895057   	53485011  	46589954  
Chr01	6905403   	6905452   	49        
Chr01	6965990   	6966017   	27        
Chr01	6990466   	6991598   	1132      
Chr01	7189500   	7208891   	19391     
Chr01	7421657   	21548109  	14126452  
Chr01	7522065   	7522514   	449       
Chr01	7583071   	7583093   	22        
Chr01	8523675   	8524053   	378       
Chr01	8593544   	8600231   	6687      
Chr01	8673572   	8673672   	100       
Chr01	9349709   	22900434  	13550725  
Chr01	9655563   	28467339  	18811776  
Chr01	10342453  	10419619  	77166     
Chr01	11017297  	11017638  	341       
Chr01	11076339  	11076630  	291       
Chr01	11749463  	11754689  	5226      
Chr01	11778539  	11786018  	7479      
Chr01	11870543  	11870620  	77        
Chr01	11876597  	11876914  	317       
Chr01	11889072  	11918321  	29249     
Chr01	11957257  	11957956  	699       
Chr01	11965643  	11965974  	331       
Chr01	12076892  	12077846  	954       
Chr01	12088497  	12094276  	5779      
Chr01	12113667  	12143844  	30177     
Chr01	12114343  	12288024  	173681    
Chr01	12114467  	12338480  	224013    
Chr01	12114842  	12288024  	173182    
Chr01	12126838  	12126889  	51        
Chr01	12130841  	12232741  	101900    
Chr01	12313149  	12313480  	331       
Chr01	12328392  	12328451  	59        
Chr01	12373508  	12382845  	9337      
Chr01	12421544  	12421624  	80        
Chr01	12426239  	12447080  	20841     
Chr01	12428676  	12428700  	24        
Chr01	12442261  	12446107  	3846      
Chr01	12479437  	12479561  	124       
Chr01	12487905  	12487932  	27        
Chr01	12534644  	12535034  	390       
Chr01	12542189  	12542605  	416       
Chr01	12547506  	12547852  	346       
Chr01	12814637  	12814674  	37        
Chr01	12828219  	12829457  	1238      
Chr01	12831509  	12838113  	6604      
Chr01	12997383  	12997704  	321       
Chr01	13108638  	13108681  	43        
Chr01	13144135  	13144491  	356       
Chr01	13271288  	13276667  	5379      
Chr01	13316621  	13316656  	35        
Chr01	13415273  	13415559  	286       
Chr01	13473161  	13473555  	394       
Chr01	13537979  	13547442  	9463      
Chr01	13628988  	13629700  	712       
Chr01	13675533  	13677264  	1731      
Chr01	13676227  	13676617  	390       
Chr01	13676872  	13677232  	360       
Chr01	13703749  	13704070  	321       
Chr01	13704619  	15136935  	1432316   
Chr01	13708391  	15132789  	1424398   
Chr01	13712893  	13713256  	363       
Chr01	13714294  	13716856  	2562      
Chr01	13753512  	13753538  	26        
Chr01	13762196  	21172437  	7410241   
Chr01	13809493  	13809607  	114       
Chr01	13811226  	13814241  	3015      
Chr01	13816690  	13817096  	406       
Chr01	13824529  	13824587  	58        
Chr01	13842810  	13842995  	185       
Chr01	13867235  	13868309  	1074      
Chr01	13922814  	13956115  	33301     
Chr01	13922922  	13929366  	6444      
Chr01	13923354  	13933402  	10048     
Chr01	13923404  	13929390  	5986      
Chr01	13925736  	13928237  	2501      
Chr01	13927127  	13927508  	381       
Chr01	13927636  	13954067  	26431     
Chr01	13927644  	13955679  	28035     
Chr01	13927774  	13940321  	12547     
Chr01	13927831  	36146710  	22218879  
Chr01	13928309  	13930155  	1846      
Chr01	13928323  	13959421  	31098     
Chr01	13928700  	13928860  	160       
Chr01	13928855  	13928886  	31        
Chr01	13928987  	13965369  	36382     
Chr01	13930462  	13958037  	27575     
Chr01	13933307  	13958072  	24765     
Chr01	13933300  	13935399  	2099      
Chr01	13933472  	13933875  	403       
Chr01	13935381  	13960414  	25033     
Chr01	13935522  	13940288  	4766      
Chr01	13935679  	13958036  	22357     
Chr01	13935722  	13939290  	3568      
Chr01	13939177  	13939599  	422       
Chr01	13939777  	13940088  	311       
Chr01	13940182  	13965796  	25614     
Chr01	13940198  	13966365  	26167     
Chr01	13940435  	13955296  	14861     
Chr01	13940594  	13967603  	27009     
Chr01	13940648  	13965969  	25321     
