Chr     Start       End    Length
Chr01       268       571       303
Chr01    378996    379029        33
Chr01    517532    517567        35
Chr01    522324    522380        56
Chr01    528900    528943        43
Chr01   1350458   1350819       361
Chr01   1787493   1787549        56
Chr01   2200930   2204400      3470
Chr01   2516167   2516740       573
Chr01   2701389  53484727  50783338
Chr01   3161909  40906642  37744733
Chr01   3459620   3491027     31407
Chr01   3583261   3583306        45
Chr01   3645201   3645553       352
Chr01   3654518  53482442  49827924
Chr01   3721213   3723827      2614
Chr01   3736754   3736785        31
Chr01   3740481   3740717       236
Chr01   3746899   3752245      5346
Chr01   3757091   3757534       443
Chr01   4031052  44433869  40402817
Chr01   4296288   4296664       376
Chr01   4305047  30289663  25984616
Chr01   4695123  52220166  47525043
Chr01   5356604   5360472      3868
Chr01   5395267   5400332      5065
Chr01   5402077   5402117        40
Chr01   5632103   5632140        37
Chr01   5651048   5651067        19
Chr01   5736965   5736998        33
Chr01   5828191   5835127      6936
Chr01   6242882   6243262       380
Chr01   6334269   6334340        71
Chr01   6406556   6406580        24
Chr01   6419487   6424007      4520
Chr01   6434440   6437281      2841
Chr01   6477586   6477621        35
Chr01   6500980   6501067        87
Chr01   6791765   6791931       166
Chr01   6792587   6792612        25
Chr01   6895067  53485021  46589954
Chr01   6905414   6905463        49
Chr01   6965999   6966026        27
Chr01   6990451   6991583      1132
Chr01   7189524   7208915     19391
Chr01   7421667  21548119  14126452
Chr01   7522073   7522522       449
Chr01   7583084   7583106        22
Chr01   8523690   8524068       378
Chr01   8593534   8600221      6687
Chr01   8673587   8673687       100
Chr01   9349719  22900444  13550725
Chr01   9655571  28467347  18811776
Chr01  10342469  10419635     77166
Chr01  11017283  11017624       341
Chr01  11076362  11076653       291
Chr01  11749485  11754711      5226
Chr01  11778547  11786026      7479
Chr01  11870553  11870630        77
Chr01  11876617  11876934       317
Chr01  11889080  11918329     29249
Chr01  11957263  11957962       699
Chr01  11965654  11965985       331
Chr01  11980581  11981575       994
Chr01  12076898  12077852       954
Chr01  12088482  12094261      5779
Chr01  12113683  12143860     30177
Chr01  12114352  12288033    173681
Chr01  12114477  12338490    224013
Chr01  12114864  12288046    173182
Chr01  12126820  12126871        51
Chr01  12130853  12232753    101900
Chr01  12313161  12313492       331
Chr01  12328399  12328458        59
Chr01  12373519  12382856      9337
Chr01  12421560  12421640        80
Chr01  12426249  12447090     20841
Chr01  12428692  12428716        24
Chr01  12442273  12446119      3846
Chr01  12479444  12479568       124
Chr01  12487884  12487911        27
Chr01  12534663  12535053       390
Chr01  12542201  12542617       416
Chr01  12547518  12547864       346
Chr01  12814651  12814688        37
Chr01  12828202  12829440      1238
Chr01  12831519  12838123      6604
Chr01  12997404  12997725       321
Chr01  13108614  13108657        43
Chr01  13144140  13144496       356
Chr01  13271312  13276691      5379
Chr01  13316636  13316671        35
Chr01  13415278  13415564       286
Chr01  13473172  13473566       394
Chr01  13537990  13547453      9463
Chr01  13628978  13629690       712
Chr01  13675548  13677279      1731
Chr01  13676236  13676626       390
Chr01  13676891  13677251       360
Chr01  13703760  13704081       321
Chr01  13704609  15136925   1432316
Chr01  13708399  15132797   1424398
Chr01  13712907  13713270       363
Chr01  13714303  13716865      2562
Chr01  13753518  13753544        26
Chr01  13762216  21172457   7410241
Chr01  13809499  13809613       114
Chr01  13811231  13814246      3015
Chr01  13816702  13817108       406
Chr01  13824538  13824596        58
Chr01  13842791  13842976       185
Chr01  13867250  13868324      1074
Chr01  13922835  13956136     33301
Chr01  13922931  13929375      6444
Chr01  13923366  13933414     10048
Chr01  13923394  13929380      5986
Chr01  13925748  13928249      2501
Chr01  13927145  13927526       381
Chr01  13927641  13954072     26431
Chr01  13927661  13955696     28035
Chr01  13927791  13940338     12547
Chr01  13927820  36146699  22218879
Chr01  13928321  13930167      1846
Chr01  13928340  13959438     31098
Chr01  13928705  13928865       160
Chr01  13928834  13928865        31
Chr01  13929006  13965388     36382
Chr01  13930474  13958049     27575
Chr01  13933315  13958080     24765
Chr01  13933318  13935417      2099
Chr01  13933454  13933857       403
Chr01  13935392  13960425     25033
Chr01  13935545  13940311      4766
Chr01  13935702  13958059     22357
Chr01  13935732  13939300      3568
Chr01  13939193  13939615       422
Chr01  13939785  13940096       311
Chr01  13940192  13965806     25614
Chr01  13940216  13966383     26167
Chr01  13940445  13955306     14861
Chr01  13940572  13967581     27009
Chr01  13940672  13965993     25321
Chr01  13940691  13958079     17388
Chr01  13949022  13949365       343
Chr01  13953184  13953528       344
Chr01  13954186  13954587       401
Chr01  13956265  13956648       383
Chr01  13957709  13958082       373
Chr01  13958437  13958844       407
Chr01  13960274  13963073      2799
Chr01  13960576  13965825      5249
Chr01  13961227  13961619       392
Chr01  13961734  13962067       333
Chr01  13963028  13963063        35
Chr01  13963184  13965824      2640
Chr01  13965493  13969198      3705
Chr01  13965946  13967573      1627
Chr01  14062285  14062695       410
Chr01  14196188  14196303       115
Chr01  14220811  14220840        29
Chr01  14223703  55420495  41196792
Chr01  14319220  14320189       969
Chr01  14367133  14367501       368
Chr01  14379019  14381330      2311
Chr01  14383118  14390766      7648
Chr01  14384578  14387969      3391
Chr01  14385345  14388119      2774
Chr01  14386579  14386604        25
Chr01  14400739  14400838        99
Chr01  14419680  14420044       364
Chr01  14430296  14446752     16456
Chr01  14439832  14440185       353
Chr01  14458583  14458637        54
Chr01  14483464  14484557      1093
Chr01  14581908  14597225     15317
Chr01  14643486  14643785       299
Chr01  14674890  14674910        20
Chr01  14709486  14709738       252
Chr01  14784797  14784822        25
Chr01  14786130  14788463      2333
Chr01  14786748  14786773        25
Chr01  14786754  14791096      4342
Chr01  14786943  14788027      1084
Chr01  14787158  14789336      2178
Chr01  14787369  14792051      4682
Chr01  14787842  14788148       306
Chr01  14788164  14796073      7909
Chr01  14788169  14791731      3562
Chr01  14788170  14790152      1982
Chr01  14788456  14791084      2628
Chr01  14789011  14789780       769
Chr01  14790225  14791776      1551
Chr01  14790341  14791060       719
Chr01  14792307  14792710       403
Chr01  14809200  14809263        63
Chr01  14836888  14840156      3268
Chr01  14839114  14841261      2147
Chr01  14839716  14840830      1114
Chr01  14843420  14843775       355
Chr01  14843956  14845051      1095
Chr01  14844181  14845540      1359
Chr01  14845027  14845569       542
Chr01  14846396  14846454        58
Chr01  14863039  14866578      3539
Chr01  14875141  14876408      1267
Chr01  14888420  14888490        70
Chr01  14927273  14928418      1145
Chr01  14931470  14932333       863
Chr01  14936096  14938722      2626
Chr01  14937069  14939380      2311
Chr01  14937650  14938154       504
Chr01  14938232  14942495      4263
Chr01  14939004  14939380       376
Chr01  14939402  14942454      3052
Chr01  14952112  14995765     43653
Chr01  14952197  14952577       380
Chr01  14952476  14952876       400
Chr01  14989587  14989950       363
Chr01  14989791  14996945      7154
Chr01  14991100  14996953      5853
Chr01  14996509  14996907       398
Chr01  15114737  15115083       346
Chr01  15115358  15115545       187
Chr01  15115392  15137152     21760
Chr01  15186800  15186828        28
Chr01  15211424  15212096       672
Chr01  15237265  15237630       365
Chr01  15304793  15305193       400
Chr01  15314079  15314496       417
Chr01  15448412  15448466        54
Chr01  15685941  15686997      1056
Chr01  15701233  15816176    114943
Chr01  15701431  15703604      2173
Chr01  15703007  15817299    114292
Chr01  15703073  15841614    138541
Chr01  15703742  15704074       332
Chr01  15705781  15706111       330
Chr01  15705886  15834760    128874
Chr01  15705888  15706000       112
Chr01  15706385  15718432     12047
Chr01  15706398  15710778      4380
Chr01  15709790  15719107      9317
Chr01  15714786  15754976     40190
Chr01  15717630  15717997       367
Chr01  15733889  39031378  23297489
Chr01  15748207  15844567     96360
Chr01  15772961  15783115     10154
Chr01  15781348  15797283     15935
Chr01  15781352  16152697    371345
Chr01  15781382  15781941       559
Chr01  15781396  16158051    376655
Chr01  15781409  15783118      1709
Chr01  15783469  16158051    374582
Chr01  15790374  15790757       383
Chr01  15796798  15797187       389
Chr01  15823905  15824292       387
Chr01  15833744  15840903      7159
Chr01  15834500  15840934      6434
Chr01  15835107  15840859      5752
Chr01  15835797  15840031      4234
Chr01  15839371  15843060      3689
Chr01  15839379  15842454      3075
Chr01  15841151  15845253      4102
Chr01  15841151  15915430     74279
Chr01  15842281  15842596       315
Chr01  15846459  16000202    153743
Chr01  15846523  15846839       316
Chr01  15851319  15851743       424
Chr01  15851802  15866037     14235
Chr01  15851811  15859383      7572
Chr01  15852910  15853250       340
Chr01  15854224  15854578       354
Chr01  15854415  16174198    319783
Chr01  15858230  15863202      4972
Chr01  15862202  16019729    157527
Chr01  15862482  15863857      1375
Chr01  15867510  16152723    285213
Chr01  15867793  15868097       304
Chr01  15868535  15975389    106854
Chr01  15869604  15872167      2563
Chr01  15870484  15872983      2499
Chr01  15872621  15872979       358
Chr01  15872801  16002129    129328
Chr01  15873595  15895465     21870
Chr01  15895866  15896643       777
Chr01  15913815  15914976      1161
Chr01  15915072  15915435       363
Chr01  15916517  15970806     54289
Chr01  15916520  15956765     40245
Chr01  15923929  15924287       358
Chr01  15954954  15955337       383
Chr01  15961519  15961882       363
Chr01  15962351  16001190     38839
Chr01  15965809  15970834      5025
Chr01  15972624  15973017       393
Chr01  15973224  16163665    190441
Chr01  15973227  16164226    190999
Chr01  15973944  15974289       345
Chr01  15975004  15975348       344
Chr01  15997974  15999843      1869
Chr01  16021858  16022180       322
Chr01  16151931  16152307       376
Chr01  16163829  16164222       393
Chr01  16206257  16208294      2037
Chr01  16221934  16222016        82
Chr01  16340804  16340864        60
Chr01  16395938  16397874      1936
Chr01  16453132  16453179        47
Chr01  16761774  16761845        71
Chr01  16803443  16803464        21
Chr01  16832673  16834437      1764
Chr01  16843243  16846400      3157
Chr01  16963881  16963940        59
Chr01  17034473  17035103       630
Chr01  17104890  17114130      9240
Chr01  17116423  17116496        73
Chr01  17185008  17185063        55
Chr01  17190100  17190137        37
Chr01  17200847  17201109       262
Chr01  17202706  17202763        57
Chr01  17210166  23934706   6724540
Chr01  17262609  17262993       384
Chr01  17430543  17431559      1016
Chr01  17658770  17658857        87
Chr01  17662212  17663189       977
Chr01  17676448  17684056      7608
Chr01  17693199  17693220        21
Chr01  17698772  17699107       335
Chr01  17700036  17700457       421
Chr01  17700095  22265021   4564926
Chr01  17707603  17707655        52
Chr01  17734367  17734740       373
Chr01  17745904  17746252       348
Chr01  17812609  29222859  11410250
Chr01  17838926  17839287       361
Chr01  17842546  17842918       372
Chr01  17901171  17902655      1484
Chr01  17916632  17924543      7911
Chr01  17971142  17971165        23
Chr01  18032065  18032155        90
Chr01  18065299  19189862   1124563
Chr01  18065370  18065727       357
Chr01  18166812  18167130       318
Chr01  18462131  18462155        24
Chr01  18599268  18599335        67
Chr01  18622972  18632127      9155
Chr01  18653112  18653488       376
Chr01  18677357  18677747       390
Chr01  18677913  18678214       301
Chr01  18799155  18799498       343
Chr01  18912276  18913988      1712
Chr01  18934381  18938495      4114
Chr01  18958771  18958822        51
Chr01  19152469  19153056       587
Chr01  19189986  19190357       371
Chr01  19261959  19262356       397
Chr01  19339961  19340238       277
Chr01  19347930  19348284       354
Chr01  19379257  19446753     67496
Chr01  19481927  19482258       331
Chr01  19534887  19535322       435
Chr01  19540052  19540166       114
Chr01  19575002  19575135       133
Chr01  19643709  19644046       337
Chr01  19643709  19645195      1486
Chr01  19708662  19708687        25
Chr01  19754661  19755015       354
Chr01  19829525  19831008      1483
Chr01  19829610  19829959       349
Chr01  19830047  19830467       420
Chr01  19869729  19887780     18051
Chr01  19919693  19919716        23
Chr01  19966575  19966728       153
Chr01  20039759  20058237     18478
Chr01  20042550  20042944       394
Chr01  20047814  20048220       406
Chr01  20078671  20088399      9728
Chr01  20303615  20304177       562
Chr01  20335976  20336107       131
Chr01  20546004  20546440       436
Chr01  20550856  20551003       147
Chr01  20564063  20564444       381
Chr01  20570783  20571430       647
Chr01  20577594  20578128       534
Chr01  20597896  20599515      1619
Chr01  20691641  20692822      1181
Chr01  20697953  20699585      1632
Chr01  20703886  20703926        40
Chr01  20747612  20764724     17112
Chr01  20753376  39808367  19054991
Chr01  20769295  20778656      9361
Chr01  20795738  20797855      2117
Chr01  20823267  20824980      1713
Chr01  20832351  20832719       368
Chr01  20870211  20870597       386
Chr01  21028674  21037943      9269
Chr01  21049438  21054363      4925
Chr01  21053617  21054307       690
Chr01  21053740  21082159     28419
Chr01  21054606  21083094     28488
Chr01  21054607  21082157     27550
Chr01  21081893  21082294       401
Chr01  21082308  21082675       367
Chr01  21087251  21087608       357
Chr01  21096575  21096599        24
Chr01  21116051  21135228     19177
Chr01  21125255  21125622       367
Chr01  21172438  21191394     18956
Chr01  21175378  21175753       375
Chr01  21228192  21228557       365
Chr01  21228396  21230003      1607
Chr01  21228398  21241948     13550
Chr01  21228416  21230629      2213
Chr01  21228421  21247928     19507
Chr01  21228433  21248672     20239
Chr01  21230199  21237075      6876
Chr01  21230695  21247975     17280
Chr01  21230729  21246242     15513
Chr01  21242062  21248741      6679
Chr01  21242078  21247936      5858
Chr01  21242467  21248681      6214
Chr01  21243122  21243832       710
Chr01  21244788  21245162       374
Chr01  21245398  21245766       368
Chr01  21245418  21246181       763
Chr01  21246359  21247946      1587
Chr01  21246364  21248751      2387
Chr01  21249254  21298972     49718
Chr01  21249264  21291956     42692
Chr01  21249375  21249406        31
Chr01  21292262  21299903      7641
Chr01  21293184  21293515       331
Chr01  21293724  21294103       379
Chr01  21303174  21303543       369
Chr01  21334073  21334131        58
Chr01  21360051  21360076        25
Chr01  21398319  21418322     20003
Chr01  21422524  21440031     17507
Chr01  21461994  21463917      1923
Chr01  21498115  48329528  26831413
Chr01  21583743  21584110       367
Chr01  21600447  22457766    857319
Chr01  21620857  21620942        85
Chr01  21634692  21635098       406
Chr01  21647548  21647610        62
Chr01  21648062  21648457       395
Chr01  21673968  21674938       970
Chr01  21681062  21681089        27
Chr01  21902882  21903108       226
Chr01  21921060  21921183       123
Chr01  22038460  22038502        42
Chr01  22068404  31951022   9882618
Chr01  22086224  22086592       368
Chr01  22086814  22087214       400
Chr01  22087317  22095586      8269
Chr01  22087724  22095094      7370
Chr01  22099403  22117744     18341
Chr01  22250005  22250832       827
Chr01  22250014  22263641     13627
Chr01  22250058  22250416       358
Chr01  22251425  22251546       121
Chr01  22263586  22263635        49
Chr01  22265614  22274576      8962
Chr01  22280895  22283228      2333
Chr01  22342938  22361148     18210
Chr01  22350299  22350670       371
Chr01  22376651  22376875       224
Chr01  22448421  22457745      9324
Chr01  22525066  22525089        23
Chr01  22595365  22595459        94
Chr01  22615526  22616112       586
Chr01  22620862  22630090      9228
Chr01  22641878  22642198       320
Chr01  22643737  22644075       338
Chr01  22689710  33177251  10487541
Chr01  22768186  22777504      9318
Chr01  22799815  22819912     20097
Chr01  22816890  22817297       407
Chr01  22898082  29202458   6304376
Chr01  22898132  22900396      2264
Chr01  22911945  22912282       337
Chr01  22961248  38145311  15184063
Chr01  23222692  23243700     21008
Chr01  23481611  23503369     21758
Chr01  23515284  23515591       307
Chr01  23517138  23517504       366
Chr01  23881836  23882224       388
Chr01  23882461  23882814       353
Chr01  24345574  24345874       300
Chr01  25009106  34115466   9106360
Chr01  26034403  26034509       106
Chr01  26485816  26486263       447
Chr01  27269417  27269460        43
Chr01  27279587  27298784     19197
Chr01  27303957  27308323      4366
Chr01  27622335  27622436       101
Chr01  28444143  28444446       303
Chr01  28481027  28481354       327
Chr01  28871310  28871657       347
Chr01  28913684  28914019       335
Chr01  29328679  29329061       382
Chr01  29329032  29329446       414
Chr01  29381109  29381436       327
Chr01  29382125  29382480       355
Chr01  29424846  29425162       316
Chr01  29426449  29441455     15006
Chr01  29441416  29441443        27
Chr01  29441619  29450905      9286
Chr01  29442744  29446556      3812
Chr01  29446638  29448514      1876
Chr01  29446776  29450916      4140
Chr01  29446797  29449407      2610
Chr01  29447620  29447956       336
Chr01  29448171  29448471       300
Chr01  29449134  29449435       301
Chr01  29451248  29451616       368
Chr01  29522332  29522851       519
Chr01  29814014  29814380       366
Chr01  30075079  30075485       406
Chr01  31079472  31080163       691
Chr01  31471416  31471800       384
Chr01  31473859  31475315      1456
Chr01  31664764  31665138       374
Chr01  31949813  31950159       346
Chr01  32987728  33858590    870862
Chr01  33604026  33604540       514
Chr01  33623527  33628339      4812
Chr01  33705106  33707976      2870
Chr01  33728246  33737845      9599
Chr01  33752469  33752518        49
Chr01  33916389  33916493       104
Chr01  33919483  33919514        31
Chr01  34000889  34001872       983
Chr01  34027394  34027443        49
Chr01  34051678  34071616     19938
Chr01  34539026  34539331       305
Chr01  34993979  34994438       459
Chr01  35069643  35069954       311
Chr01  35410748  35410880       132
Chr01  35434794  35435016       222
Chr01  35437439  35446739      9300
Chr01  35583726  35583817        91
Chr01  35678494  55392929  19714435
Chr01  35810989  35811142       153
Chr01  36373251  36373292        41
Chr01  36440241  36440615       374
Chr01  36712007  36721751      9744
Chr01  36738946  36739304       358
Chr01  36997489  36998095       606
Chr01  37026879  37026916        37
Chr01  37065336  37076358     11022
Chr01  37104731  37104761        30
Chr01  37122164  37122297       133
Chr01  37261140  37276132     14992
Chr01  37368186  37372540      4354
Chr01  37405219  37405244        25
Chr01  37667023  37667113        90
Chr01  37730141  37731516      1375
Chr01  37776678  37776707        29
Chr01  38142376  38143890      1514
Chr01  38371957  38392088     20131
Chr01  38426997  38427097       100
Chr01  38433608  38433661        53
Chr01  38527301  38527561       260
Chr01  38601796  38601896       100
Chr01  38620402  38640580     20178
Chr01  38652996  38653060        64
Chr01  38739485  38739532        47
Chr01  38847479  38848013       534
Chr01  38897602  38967627     70025
Chr01  38902416  38922852     20436
Chr01  38950942  38975184     24242
Chr01  38969374  38971079      1705
Chr01  38970274  38970319        45
Chr01  39129590  39138973      9383
Chr01  39206383  39213151      6768
Chr01  39309704  39310388       684
Chr01  39377497  39377516        19
Chr01  39384469  39384486        17
Chr01  39435607  39436611      1004
Chr01  39445832  39450711      4879
Chr01  39474007  39474218       211
Chr01  39634033  39635289      1256
Chr01  39639625  39640611       986
Chr01  39715399  39715512       113
Chr01  39742098  39742131        33
Chr01  39784434  39784521        87
Chr01  39786702  39790796      4094
Chr01  39803880  39820890     17010
Chr01  39809948  39810314       366
Chr01  39861704  39861747        43
Chr01  39865524  39865593        69
Chr01  39882516  39882854       338
