CHR	start     	end       	length    
Chr01	340083    	39913491  	39573408  
Chr01	1400163   	1400852   	689       
Chr01	1821710   	4502220   	2680510   
Chr01	2166443   	8552086   	6385643   
Chr01	4208867   	13315071  	9106204   
Chr01	4966803   	12830471  	7863668   
Chr01	5310310   	40852067  	35541757  
Chr01	6159478   	34654014  	28494536  
Chr01	6486103   	13756156  	7270053   
Chr01	6954519   	36711660  	29757141  
Chr01	7150026   	35142459  	27992433  
Chr01	7695308   	7696100   	792       
Chr01	7754966   	7755203   	237       
Chr01	7916909   	16733784  	8816875   
Chr01	8229779   	18133309  	9903530   
Chr01	8571744   	11724545  	3152801   
Chr01	9033702   	55698760  	46665058  
Chr01	9056340   	56484348  	47428008  
Chr01	9119421   	9127170   	7749      
Chr01	10124533  	48200176  	38075643  
Chr01	10124630  	48200010  	38075380  
Chr01	10410382  	22075876  	11665494  
Chr01	10540289  	30094796  	19554507  
Chr01	11076306  	41990826  	30914520  
Chr01	12034486  	25863883  	13829397  
Chr01	12200946  	15385331  	3184385   
Chr01	12959010  	13341912  	382902    
Chr01	16582527  	23279483  	6696956   
Chr01	16674405  	35766852  	19092447  
Chr01	17624431  	19187086  	1562655   
Chr01	17719295  	28988149  	11268854  
Chr01	18009938  	31231123  	13221185  
Chr01	18039018  	22007042  	3968024   
Chr01	18065872  	21228439  	3162567   
Chr01	19588289  	21335663  	1747374   
Chr01	20141862  	41384724  	21242862  
Chr01	21054319  	22430165  	1375846   
Chr01	21319162  	36481647  	15162485  
Chr01	21751499  	38275264  	16523765  
Chr01	21870032  	21926950  	56918     
Chr01	22406981  	42621347  	20214366  
Chr01	24912282  	40906691  	15994409  
Chr01	25489736  	25489909  	173       
Chr01	26756841  	35975686  	9218845   
Chr01	28409851  	31374984  	2965133   
Chr01	29522322  	35766909  	6244587   
Chr01	30191482  	53488123  	23296641  
Chr01	30619604  	33046633  	2427029   
Chr01	30914424  	32152921  	1238497   
Chr01	31624536  	39579025  	7954489   
Chr01	31654362  	53488660  	21834298  
Chr01	31654614  	53488627  	21834013  
Chr01	32734786  	40781501  	8046715   
Chr01	32734988  	49097269  	16362281  
Chr01	32987574  	46503703  	13516129  
Chr01	32987708  	46503831  	13516123  
Chr01	33858569  	46503579  	12645010  
Chr01	34358094  	53211505  	18853411  
Chr01	34690587  	37065494  	2374907   
Chr01	35648104  	55374717  	19726613  
Chr01	35678286  	53489529  	17811243  
Chr01	35678518  	53489356  	17810838  
Chr01	37164650  	37196478  	31828     
Chr01	39579401  	49097274  	9517873   
Chr01	40222880  	56248928  	16026048  
Chr01	42485243  	42496133  	10890     
Chr01	42494758  	42773502  	278744    
Chr01	46197362  	50414281  	4216919   
Chr01	46505197  	46505462  	265       
Chr01	53489329  	55393034  	1903705   
Chr02	1387868   	45030906  	43643038  
Chr02	3175248   	27514640  	24339392  
Chr02	3332791   	41565399  	38232608  
Chr02	4312683   	4312851   	168       
Chr02	4901739   	36616954  	31715215  
Chr02	5229713   	5249734   	20021     
Chr02	6621734   	24257854  	17636120  
Chr02	9121175   	32694082  	23572907  
Chr02	9378464   	36181174  	26802710  
Chr02	11259319  	13759386  	2500067   
Chr02	17611251  	17611368  	117       
Chr02	18018317  	27125249  	9106932   
Chr02	18493240  	29376664  	10883424  
Chr02	18778346  	23340123  	4561777   
Chr02	18778498  	23340086  	4561588   
Chr02	19823900  	20256504  	432604    
Chr02	20528505  	25026312  	4497807   
Chr02	21373578  	33383725  	12010147  
Chr02	22482292  	25654859  	3172567   
Chr02	23935662  	38975711  	15040049  
Chr02	25434466  	27981690  	2547224   
Chr02	27232439  	32352014  	5119575   
Chr02	28860976  	37468709  	8607733   
Chr02	31751717  	34850332  	3098615   
Chr02	37406205  	38929814  	1523609   
Chr02	45688993  	45689295  	302       
Chr03	51658     	53477     	1819      
Chr03	2068524   	2263400   	194876    
Chr03	2615796   	2658168   	42372     
Chr03	2617926   	2657181   	39255     
Chr03	3059016   	8796050   	5737034   
Chr03	3060572   	8781461   	5720889   
Chr03	3270227   	36087729  	32817502  
Chr03	3439490   	33402257  	29962767  
Chr03	3439550   	33402032  	29962482  
Chr03	3783887   	18140334  	14356447  
Chr03	3784012   	18140641  	14356629  
Chr03	3783996   	18165104  	14381108  
Chr03	4028971   	4054666   	25695     
Chr03	4044472   	4169901   	125429    
Chr03	4075692   	4877170   	801478    
Chr03	4123389   	4794266   	670877    
Chr03	4123510   	4794254   	670744    
Chr03	4123887   	4831459   	707572    
Chr03	4125672   	4914069   	788397    
Chr03	4149543   	4934090   	784547    
Chr03	4158893   	4874714   	715821    
Chr03	4169914   	4802363   	632449    
Chr03	4170078   	4802281   	632203    
Chr03	4199713   	4597656   	397943    
Chr03	4200148   	4794386   	594238    
Chr03	4200872   	4855042   	654170    
Chr03	4201010   	4793324   	592314    
Chr03	4218154   	4904551   	686397    
Chr03	4219072   	4903935   	684863    
Chr03	4332953   	33315061  	28982108  
Chr03	7127651   	7424766   	297115    
Chr03	7264565   	20382791  	13118226  
Chr03	7264657   	20382841  	13118184  
Chr03	9131163   	19519526  	10388363  
Chr03	9326663   	9326833   	170       
Chr03	9735559   	9744301   	8742      
Chr03	10036937  	39658267  	29621330  
Chr03	10217528  	16587662  	6370134   
Chr03	10243663  	32538526  	22294863  
Chr03	10918423  	10921576  	3153      
Chr03	11540636  	24083973  	12543337  
Chr03	11566573  	11775223  	208650    
Chr03	11998218  	15673936  	3675718   
Chr03	12217132  	22025690  	9808558   
Chr03	12873762  	27380061  	14506299  
Chr03	13091309  	15959484  	2868175   
Chr03	13383438  	15871294  	2487856   
Chr03	13800596  	35021517  	21220921  
Chr03	14028554  	34792121  	20763567  
Chr03	14096445  	41744714  	27648269  
Chr03	14767548  	14777654  	10106     
Chr03	14774492  	14777888  	3396      
Chr03	16089528  	20848545  	4759017   
Chr03	16116293  	21349734  	5233441   
Chr03	18246318  	28121918  	9875600   
Chr03	18246561  	28122001  	9875440   
Chr03	20169462  	24319139  	4149677   
Chr03	21676441  	25159438  	3482997   
Chr03	21827864  	35147348  	13319484  
Chr03	22217631  	25061755  	2844124   
Chr03	23588129  	24740592  	1152463   
Chr03	25222200  	32872854  	7650654   
Chr03	26254392  	37773261  	11518869  
Chr03	28610955  	45433871  	16822916  
Chr03	28823222  	40027189  	11203967  
Chr03	31649605  	43902229  	12252624  
Chr03	34307312  	34371177  	63865     
Chr03	35354457  	35355185  	728       
Chr03	36256541  	41795814  	5539273   
Chr03	38053598  	38090428  	36830     
Chr03	38053795  	38090223  	36428     
Chr03	40584308  	42524709  	1940401   
Chr04	1062527   	12472823  	11410296  
Chr04	2580547   	27205500  	24624953  
Chr04	3109885   	3110212   	327       
Chr04	4585816   	45270870  	40685054  
Chr04	7411524   	16076767  	8665243   
Chr04	9573807   	33841813  	24268006  
Chr04	9574005   	33841986  	24267981  
Chr04	9589855   	9833097   	243242    
Chr04	9590615   	9831996   	241381    
Chr04	10140270  	10330850  	190580    
Chr04	10317927  	34337888  	24019961  
Chr04	10354059  	10355322  	1263      
Chr04	10637034  	11071880  	434846    
Chr04	11554200  	50581727  	39027527  
Chr04	11767806  	15031494  	3263688   
Chr04	11820718  	11823403  	2685      
Chr04	11823927  	18397923  	6573996   
Chr04	11824104  	18397708  	6573604   
Chr04	12716348  	33798459  	21082111  
Chr04	13052368  	13170677  	118309    
Chr04	13591735  	41503583  	27911848  
Chr04	15617460  	15617613  	153       
Chr04	16157763  	20561756  	4403993   
Chr04	16842149  	16842386  	237       
Chr04	18031397  	21126209  	3094812   
Chr04	18647489  	39755393  	21107904  
Chr04	19182266  	27327691  	8145425   
Chr04	19712856  	20140927  	428071    
Chr04	20001462  	20001627  	165       
Chr04	20035625  	39089419  	19053794  
Chr04	20035749  	39089287  	19053538  
Chr04	20114890  	22027909  	1913019   
Chr04	20115045  	22027769  	1912724   
Chr04	21378742  	43454756  	22076014  
Chr04	21577711  	26029726  	4452015   
Chr04	21577717  	26030860  	4453143   
Chr04	21578125  	25947615  	4369490   
Chr04	21578210  	26026763  	4448553   
Chr04	21822351  	22743271  	920920    
Chr04	21954375  	25562081  	3607706   
Chr04	21954470  	25561302  	3606832   
Chr04	22031919  	40966139  	18934220  
Chr04	22153865  	39136872  	16983007  
Chr04	22237555  	30683617  	8446062   
Chr04	22301978  	32466938  	10164960  
Chr04	23060206  	31947295  	8887089   
Chr04	23166209  	43723456  	20557247  
Chr04	23166186  	39247260  	16081074  
Chr04	24538904  	32313419  	7774515   
Chr04	24637376  	33520492  	8883116   
Chr04	24677053  	29715860  	5038807   
Chr04	25558864  	43422938  	17864074  
Chr04	25563445  	43423039  	17859594  
Chr04	25894804  	37439792  	11544988  
Chr04	25944059  	35343640  	9399581   
Chr04	25975053  	35343530  	9368477   
Chr04	26915600  	34331823  	7416223   
Chr04	27550650  	49938926  	22388276  
Chr04	28724388  	29301840  	577452    
Chr04	29906818  	33399510  	3492692   
Chr04	30670421  	34134946  	3464525   
Chr04	31183395  	41135613  	9952218   
Chr04	33842119  	50860140  	17018021  
Chr04	33842230  	33842372  	142       
Chr04	33843180  	49313359  	15470179  
Chr04	33843670  	33843852  	182       
Chr04	35074980  	35075196  	216       
Chr04	37525083  	38225027  	699944    
Chr04	38321107  	44148998  	5827891   
Chr04	40286399  	42967226  	2680827   
Chr04	41597880  	41861766  	263886    
Chr04	41598089  	42257578  	659489    
Chr04	42257790  	42263654  	5864      
Chr04	46272644  	46295530  	22886     
Chr04	46497821  	46497988  	167       
Chr04	47465024  	47833917  	368893    
Chr05	3703975   	40466425  	36762450  
Chr05	4606498   	31581777  	26975279  
Chr05	4917949   	26781978  	21864029  
Chr05	5024538   	36073039  	31048501  
Chr05	5753345   	34732017  	28978672  
Chr05	5753616   	34732057  	28978441  
Chr05	6758490   	15000875  	8242385   
Chr05	7920091   	12908699  	4988608   
Chr05	8974919   	21734964  	12760045  
Chr05	9503122   	29396197  	19893075  
Chr05	10510245  	25213059  	14702814  
Chr05	10581864  	10582070  	206       
Chr05	12624714  	28964237  	16339523  
Chr05	13816723  	23292159  	9475436   
Chr05	14104566  	17876443  	3771877   
Chr05	14498732  	29429639  	14930907  
Chr05	14965895  	14966018  	123       
Chr05	14966063  	37664220  	22698157  
Chr05	16230727  	16943410  	712683    
Chr05	16230724  	16939684  	708960    
Chr05	16251888  	16945923  	694035    
Chr05	16253838  	16943226  	689388    
Chr05	16253968  	16941763  	687795    
Chr05	16254006  	16731468  	477462    
Chr05	16261767  	16943443  	681676    
Chr05	16261836  	16961902  	700066    
Chr05	16262618  	16946281  	683663    
Chr05	16270137  	16945663  	675526    
Chr05	16274338  	16943632  	669294    
Chr05	16312507  	21724796  	5412289   
Chr05	16351744  	16659915  	308171    
Chr05	16358604  	21721001  	5362397   
Chr05	17654498  	21043454  	3388956   
Chr05	18791659  	20100020  	1308361   
Chr05	19079440  	24450984  	5371544   
Chr05	19079570  	24451118  	5371548   
Chr05	20142740  	29477067  	9334327   
Chr05	20849527  	29663747  	8814220   
Chr05	20888805  	20891119  	2314      
Chr05	20888839  	20891121  	2282      
Chr05	21720610  	21847355  	126745    
Chr05	21724691  	21844717  	120026    
Chr05	21732812  	21755007  	22195     
Chr05	21733070  	21756124  	23054     
Chr05	21733200  	21755796  	22596     
Chr05	21733875  	21755454  	21579     
Chr05	21734227  	21755035  	20808     
Chr05	21734812  	21755277  	20465     
Chr05	21734948  	21755237  	20289     
Chr05	21739280  	21764017  	24737     
Chr05	21740185  	21760961  	20776     
Chr05	21747636  	21760747  	13111     
Chr05	24322095  	27949946  	3627851   
Chr05	28408454  	29533302  	1124848   
Chr05	29019267  	29030028  	10761     
Chr05	29582191  	29583039  	848       
Chr05	33069436  	33069646  	210       
Chr05	34061330  	36879905  	2818575   
Chr05	36200061  	36226751  	26690     
Chr05	39126560  	39127488  	928       
Chr06	1427786   	1437207   	9421      
Chr06	2807356   	2807585   	229       
Chr06	4501071   	39165725  	34664654  
Chr06	6592206   	31520920  	24928714  
Chr06	8310231   	8315341   	5110      
Chr06	9302384   	43320633  	34018249  
Chr06	10014142  	37361128  	27346986  
Chr06	11353852  	16627443  	5273591   
Chr06	11544001  	44224989  	32680988  
Chr06	11681869  	19200006  	7518137   
Chr06	13184606  	42062899  	28878293  
Chr06	14929946  	16603401  	1673455   
Chr06	15453963  	19729684  	4275721   
Chr06	16932318  	16932527  	209       
Chr06	17606792  	18397003  	790211    
Chr06	17645674  	20154253  	2508579   
Chr06	17955619  	48288954  	30333335  
Chr06	18626506  	18628170  	1664      
Chr06	19555537  	26278910  	6723373   
Chr06	20224402  	26578358  	6353956   
Chr06	21366107  	21738323  	372216    
Chr06	23309265  	47118186  	23808921  
Chr06	23309314  	47118491  	23809177  
Chr06	24828144  	25757302  	929158    
Chr06	25128687  	25791084  	662397    
Chr06	25851129  	25920006  	68877     
Chr06	26395810  	26415259  	19449     
Chr06	27360423  	29735377  	2374954   
Chr06	27738213  	30234703  	2496490   
Chr06	28258997  	28259209  	212       
Chr06	28542196  	28564224  	22028     
Chr06	29863811  	29864005  	194       
Chr06	30595984  	30599570  	3586      
Chr06	30596105  	30599483  	3378      
Chr06	30898230  	33327903  	2429673   
Chr06	32910129  	42785128  	9874999   
Chr06	33193583  	41812031  	8618448   
Chr06	33291668  	38007858  	4716190   
Chr06	33689529  	34271525  	581996    
Chr06	34009726  	37210400  	3200674   
Chr06	37476835  	37613028  	136193    
Chr06	37537907  	40732841  	3194934   
Chr06	39116874  	43387752  	4270878   
Chr06	40629172  	45261434  	4632262   
Chr06	41043249  	41043420  	171       
Chr06	42951395  	42951504  	109       
Chr06	43306888  	47529104  	4222216   
Chr06	45088841  	45731434  	642593    
Chr06	45808747  	45809150  	403       
Chr06	46409325  	46435363  	26038     
Chr06	47118351  	47118504  	153       
Chr06	48670756  	48740515  	69759     
Chr07	96847     	97020     	173       
Chr07	1531369   	1531879   	510       
Chr07	2167738   	13733644  	11565906  
Chr07	3076197   	25068006  	21991809  
Chr07	4933267   	21761195  	16827928  
Chr07	5007309   	41039994  	36032685  
Chr07	5561794   	5834081   	272287    
Chr07	5563873   	5832242   	268369    
Chr07	5564603   	5831617   	267014    
Chr07	5571319   	5866880   	295561    
Chr07	5575053   	5820294   	245241    
Chr07	5600811   	5894782   	293971    
Chr07	5600916   	5825372   	224456    
Chr07	5602491   	5824218   	221727    
Chr07	5602484   	5893312   	290828    
Chr07	5704182   	5820152   	115970    
Chr07	5704267   	5889829   	185562    
Chr07	5718847   	5894823   	175976    
Chr07	5719178   	5868581   	149403    
Chr07	5719294   	5868469   	149175    
Chr07	5719531   	5825208   	105677    
Chr07	5725607   	5888811   	163204    
Chr07	5967485   	5968927   	1442      
Chr07	6049779   	44323918  	38274139  
Chr07	7204775   	30034048  	22829273  
Chr07	8906344   	15665317  	6758973   
Chr07	10678208  	13573339  	2895131   
Chr07	10763425  	13758485  	2995060   
Chr07	13341246  	13341422  	176       
Chr07	15437086  	35472734  	20035648  
Chr07	20593351  	31219607  	10626256  
Chr07	20747541  	22542267  	1794726   
Chr07	20747539  	22545285  	1797746   
Chr07	21995466  	31213663  	9218197   
Chr07	22271351  	24685009  	2413658   
Chr07	22282505  	24690962  	2408457   
Chr07	22545350  	22760042  	214692    
Chr07	23014361  	25341367  	2327006   
Chr07	23165551  	23246270  	80719     
Chr07	23168344  	26109899  	2941555   
Chr07	23438346  	28629658  	5191312   
Chr07	23523433  	23598031  	74598     
Chr07	24619176  	24621117  	1941      
Chr07	24619555  	24621860  	2305      
Chr07	25804068  	27329850  	1525782   
Chr07	25834963  	27672077  	1837114   
Chr07	26532335  	32754831  	6222496   
Chr07	26646226  	30163510  	3517284   
Chr07	26692736  	27582077  	889341    
Chr07	27808905  	28169365  	360460    
Chr07	28457064  	31827702  	3370638   
Chr07	33213449  	42756879  	9543430   
Chr07	35472124  	43914274  	8442150   
Chr08	1163929   	23444362  	22280433  
Chr08	2050381   	45393888  	43343507  
Chr08	4132344   	21191666  	17059322  
Chr08	5535167   	6835288   	1300121   
Chr08	6116315   	6116585   	270       
Chr08	6309657   	15321982  	9012325   
Chr08	8115132   	19577656  	11462524  
Chr08	11108654  	13365837  	2257183   
Chr08	11108842  	13364933  	2256091   
Chr08	12253596  	12254563  	967       
Chr08	12441280  	14685932  	2244652   
Chr08	12749230  	13328977  	579747    
Chr08	13198845  	13199008  	163       
Chr08	13500132  	18716183  	5216051   
Chr08	14244238  	20617273  	6373035   
Chr08	16185332  	36301349  	20116017  
Chr08	16453540  	37362545  	20909005  
Chr08	18594526  	39728691  	21134165  
Chr08	19402397  	25290548  	5888151   
Chr08	19945224  	47500577  	27555353  
Chr08	23524466  	46524374  	22999908  
Chr08	24970953  	28731675  	3760722   
Chr08	25775801  	37600007  	11824206  
Chr08	27139611  	41249551  	14109940  
Chr08	29383975  	29449380  	65405     
Chr08	31064891  	31095776  	30885     
Chr08	31663202  	31663694  	492       
Chr08	31663385  	31663534  	149       
Chr08	32400365  	32400658  	293       
Chr08	38324567  	38324714  	147       
