Chr			Length
Chr01			173
Chr01			237
Chr01			265
Chr01			689
Chr01			792
Chr01			7749
Chr01			10890
Chr01			31828
Chr01			56918
Chr01			278744
Chr01			382902
Chr01			1238497
Chr01			1375846
Chr01			1562655
Chr01			1747374
Chr01			1903705
Chr01			2374907
Chr01			2427029
Chr01			2680510
Chr01			2965133
Chr01			3152801
Chr01			3162567
Chr01			3184385
Chr01			3968024
Chr01			4216919
Chr01			6244587
Chr01			6385643
Chr01			6696956
Chr01			7270053
Chr01			7863668
Chr01			7954489
Chr01			8046715
Chr01			8816875
Chr01			9106204
Chr01			9218845
Chr01			9517873
Chr01			9903530
Chr01			11268854
Chr01			11665494
Chr01			12645010
Chr01			13221185
Chr01			13516123
Chr01			13516129
Chr01			13829397
Chr01			15162485
Chr01			15994409
Chr01			16026048
Chr01			16362281
Chr01			16523765
Chr01			17810838
Chr01			17811243
Chr01			18853411
Chr01			19092447
Chr01			19554507
Chr01			19726613
Chr01			20214366
Chr01			21242862
Chr01			21834013
Chr01			21834298
Chr01			23296641
Chr01			27992433
Chr01			28494536
Chr01			29757141
Chr01			30914520
Chr01			35541757
Chr01			38075380
Chr01			38075643
Chr01			39573408
Chr01			46665058
Chr01			47428008
the total of Chr01 is 70


Chr02			117
Chr02			168
Chr02			302
Chr02			20021
Chr02			432604
Chr02			1523609
Chr02			2500067
Chr02			2547224
Chr02			3098615
Chr02			3172567
Chr02			4497807
Chr02			4561588
Chr02			4561777
Chr02			5119575
Chr02			8607733
Chr02			9106932
Chr02			10883424
Chr02			12010147
Chr02			15040049
Chr02			17636120
Chr02			23572907
Chr02			24339392
Chr02			26802710
Chr02			31715215
Chr02			38232608
Chr02			43643038
the total of Chr02 is 26


Chr03			170
Chr03			728
Chr03			1819
Chr03			3153
Chr03			3396
Chr03			8742
Chr03			10106
Chr03			25695
Chr03			36428
Chr03			36830
Chr03			39255
Chr03			42372
Chr03			63865
Chr03			125429
Chr03			170485
Chr03			194876
Chr03			208650
Chr03			297115
Chr03			397943
Chr03			592314
Chr03			594238
Chr03			632203
Chr03			632449
Chr03			654170
Chr03			670744
Chr03			670877
Chr03			684863
Chr03			686397
Chr03			707572
Chr03			715821
Chr03			784547
Chr03			788397
Chr03			801478
Chr03			1152463
Chr03			1940401
Chr03			2487856
Chr03			2844124
Chr03			2868175
Chr03			3482997
Chr03			3675718
Chr03			4149677
Chr03			4759017
Chr03			5233441
Chr03			5539273
Chr03			5720889
Chr03			5737034
Chr03			6370134
Chr03			7650654
Chr03			9808558
Chr03			9875440
Chr03			9875600
Chr03			10388363
Chr03			11203967
Chr03			11518869
Chr03			12252624
Chr03			12543337
Chr03			13118184
Chr03			13118226
Chr03			13319484
Chr03			14356447
Chr03			14356629
Chr03			14381108
Chr03			14506299
Chr03			16822916
Chr03			20763567
Chr03			21220921
Chr03			22294863
Chr03			27648269
Chr03			28982108
Chr03			29621330
Chr03			29962482
Chr03			29962767
Chr03			32817502
the total of Chr03 is 73


Chr04			142
Chr04			153
Chr04			165
Chr04			167
Chr04			182
Chr04			216
Chr04			237
Chr04			327
Chr04			1263
Chr04			2685
Chr04			5864
Chr04			22886
Chr04			118309
Chr04			190580
Chr04			241381
Chr04			243242
Chr04			263886
Chr04			368893
Chr04			428071
Chr04			434846
Chr04			577452
Chr04			659489
Chr04			699944
Chr04			920920
Chr04			1912724
Chr04			1913019
Chr04			2680827
Chr04			3094812
Chr04			3263688
Chr04			3464525
Chr04			3492692
Chr04			3606832
Chr04			3607706
Chr04			4369490
Chr04			4403993
Chr04			4448553
Chr04			4452015
Chr04			4453143
Chr04			5038807
Chr04			5827891
Chr04			6573604
Chr04			6573996
Chr04			7416223
Chr04			7774515
Chr04			8145425
Chr04			8446062
Chr04			8665243
Chr04			8883116
Chr04			8887089
Chr04			9368477
Chr04			9399581
Chr04			9952218
Chr04			10164960
Chr04			11410296
Chr04			11544988
Chr04			15470179
Chr04			16081074
Chr04			16983007
Chr04			17018021
Chr04			17859594
Chr04			17864074
Chr04			18934220
Chr04			19053538
Chr04			19053794
Chr04			20557247
Chr04			21082111
Chr04			21107904
Chr04			22076014
Chr04			22388276
Chr04			24019961
Chr04			24267981
Chr04			24268006
Chr04			24624953
Chr04			27911848
Chr04			39027527
Chr04			40685054
the total of Chr04 is 76


Chr05			123
Chr05			206
Chr05			210
Chr05			848
Chr05			928
Chr05			2282
Chr05			2314
Chr05			10761
Chr05			13111
Chr05			20289
Chr05			20465
Chr05			20776
Chr05			20808
Chr05			21579
Chr05			22195
Chr05			22596
Chr05			23054
Chr05			24737
Chr05			26690
Chr05			120026
Chr05			126745
Chr05			308171
Chr05			477462
Chr05			669294
Chr05			675526
Chr05			681676
Chr05			683663
Chr05			687795
Chr05			689388
Chr05			694035
Chr05			700066
Chr05			708960
Chr05			712683
Chr05			1124848
Chr05			1308361
Chr05			2818575
Chr05			3388956
Chr05			3627851
Chr05			3771877
Chr05			4988608
Chr05			5362397
Chr05			5371544
Chr05			5371548
Chr05			5412289
Chr05			8242385
Chr05			8814220
Chr05			9334327
Chr05			9475436
Chr05			12760045
Chr05			14702814
Chr05			14930907
Chr05			16339523
Chr05			19893075
Chr05			21864029
Chr05			22698157
Chr05			26975279
Chr05			28978441
Chr05			28978672
Chr05			31048501
Chr05			36762450
the total of Chr05 is 60


Chr06			109
Chr06			153
Chr06			171
Chr06			194
Chr06			209
Chr06			212
Chr06			229
Chr06			403
Chr06			1664
Chr06			3378
Chr06			3586
Chr06			5110
Chr06			9421
Chr06			19449
Chr06			22028
Chr06			26038
Chr06			68877
Chr06			69759
Chr06			136193
Chr06			372216
Chr06			581996
Chr06			642593
Chr06			662397
Chr06			790211
Chr06			929158
Chr06			1673455
Chr06			2374954
Chr06			2429673
Chr06			2496490
Chr06			2508579
Chr06			3194934
Chr06			3200674
Chr06			4222216
Chr06			4270878
Chr06			4275721
Chr06			4632262
Chr06			4716190
Chr06			5273591
Chr06			6353956
Chr06			6723373
Chr06			7518137
Chr06			8618448
Chr06			9874999
Chr06			10006139
Chr06			23808921
Chr06			23809177
Chr06			24928714
Chr06			27346986
Chr06			28878293
Chr06			30333335
Chr06			32680988
Chr06			34018249
Chr06			34664654
the total of Chr06 is 53


Chr07			173
Chr07			176
Chr07			510
Chr07			1442
Chr07			1941
Chr07			2305
Chr07			74598
Chr07			80719
Chr07			105677
Chr07			115970
Chr07			149175
Chr07			149403
Chr07			163204
Chr07			175976
Chr07			185562
Chr07			214692
Chr07			221727
Chr07			224456
Chr07			245241
Chr07			267014
Chr07			268369
Chr07			272287
Chr07			290828
Chr07			293971
Chr07			295561
Chr07			360460
Chr07			889341
Chr07			1525782
Chr07			1794726
Chr07			1797746
Chr07			1837114
Chr07			2327006
Chr07			2408457
Chr07			2413658
Chr07			2895131
Chr07			2941555
Chr07			2995060
Chr07			3370638
Chr07			3517284
Chr07			5191312
Chr07			6222496
Chr07			6758973
Chr07			8442150
Chr07			9218197
Chr07			9543430
Chr07			10626256
Chr07			11565906
Chr07			16827928
Chr07			20035648
Chr07			21991809
Chr07			22829273
Chr07			36032685
Chr07			38274139
the total of Chr07 is 53


Chr08			131
Chr08			147
Chr08			149
Chr08			162
Chr08			163
Chr08			270
Chr08			293
Chr08			492
Chr08			967
Chr08			30885
Chr08			65405
Chr08			579747
Chr08			1267296
Chr08			1300121
Chr08			2244652
Chr08			2256091
Chr08			2257183
Chr08			3760722
Chr08			5216051
Chr08			5888151
Chr08			6373035
Chr08			9012325
Chr08			11462524
Chr08			11824206
Chr08			14109940
Chr08			17059322
Chr08			20116017
Chr08			20909005
Chr08			21134165
Chr08			22280433
Chr08			22999908
Chr08			27555353
Chr08			43343507
the total of Chr08 is 33


Chr09			119
Chr09			128
Chr09			147
Chr09			150
Chr09			166
Chr09			314
Chr09			4324
Chr09			5288
Chr09			7785
Chr09			10586
Chr09			216797
Chr09			370630
Chr09			922139
Chr09			1449601
Chr09			1653967
Chr09			2946662
Chr09			3436009
Chr09			3635729
Chr09			5220749
Chr09			5383430
Chr09			5516574
Chr09			5517378
Chr09			6095389
Chr09			8040065
Chr09			8914693
Chr09			11088915
Chr09			13956023
Chr09			13963698
Chr09			15935912
Chr09			19281663
Chr09			20546156
Chr09			29572174
Chr09			30245671
Chr09			30598942
Chr09			35052448
Chr09			39149511
Chr09			39328618
Chr09			40122596
Chr09			45889647
the total of Chr09 is 39


Chr10			119
Chr10			142
Chr10			166
Chr10			184
Chr10			354
Chr10			505
Chr10			1868
Chr10			3433
Chr10			10224
Chr10			22748
Chr10			43511
Chr10			86986
Chr10			1079086
Chr10			1498462
Chr10			1951625
Chr10			2511536
Chr10			3034233
Chr10			3527820
Chr10			3600877
Chr10			3905565
Chr10			3919882
Chr10			4263523
Chr10			4483497
Chr10			5074189
Chr10			5098616
Chr10			5707120
Chr10			6975098
Chr10			7883297
Chr10			8845338
Chr10			9427609
Chr10			9592054
Chr10			9593171
Chr10			9594431
Chr10			9595658
Chr10			11346849
Chr10			12043034
Chr10			13253896
Chr10			15231924
Chr10			16660939
Chr10			16986175
Chr10			17515103
Chr10			17564389
Chr10			18594634
Chr10			19717416
Chr10			19916879
Chr10			20017451
Chr10			30583808
Chr10			30597353
Chr10			31130575
Chr10			32695531
Chr10			42810922
the total of Chr10 is 51


Chr11			108
Chr11			123
Chr11			127
Chr11			260
Chr11			1064
Chr11			2576
Chr11			4503
