CHR	start     	end       	length    
Chr01	340080    	39913488  	39573408  
Chr01	1400155   	1400844   	689       
Chr01	1821714   	4502224   	2680510   
Chr01	2166444   	8552087   	6385643   
Chr01	4208833   	13315037  	9106204   
Chr01	4966805   	12830473  	7863668   
Chr01	5310343   	40852100  	35541757  
Chr01	6159483   	34654019  	28494536  
Chr01	6486104   	13756157  	7270053   
Chr01	6954477   	36711618  	29757141  
Chr01	7150003   	35142436  	27992433  
Chr01	7695308   	7696100   	792       
Chr01	7754992   	7755229   	237       
Chr01	7916944   	16733819  	8816875   
Chr01	8229788   	18133318  	9903530   
Chr01	8571750   	11724551  	3152801   
Chr01	9033705   	55698763  	46665058  
Chr01	9056345   	56484353  	47428008  
Chr01	9119420   	9127169   	7749      
Chr01	10124497  	48200140  	38075643  
Chr01	10124666  	48200046  	38075380  
Chr01	10410352  	22075846  	11665494  
Chr01	10540288  	30094795  	19554507  
Chr01	11076313  	41990833  	30914520  
Chr01	12034458  	25863855  	13829397  
Chr01	12200968  	15385353  	3184385   
Chr01	12959016  	13341918  	382902    
Chr01	16582562  	23279518  	6696956   
Chr01	16674402  	35766849  	19092447  
Chr01	17624439  	19187094  	1562655   
Chr01	17719295  	28988149  	11268854  
Chr01	18009936  	31231121  	13221185  
Chr01	18039023  	22007047  	3968024   
Chr01	18065865  	21228432  	3162567   
Chr01	19588260  	21335634  	1747374   
Chr01	20141875  	41384737  	21242862  
Chr01	21054314  	22430160  	1375846   
Chr01	21319163  	36481648  	15162485  
Chr01	21751505  	38275270  	16523765  
Chr01	21869999  	21926917  	56918     
Chr01	22406984  	42621350  	20214366  
Chr01	24912316  	40906725  	15994409  
Chr01	25489729  	25489902  	173       
Chr01	26756822  	35975667  	9218845   
Chr01	28409841  	31374974  	2965133   
Chr01	29522320  	35766907  	6244587   
Chr01	30191480  	53488121  	23296641  
Chr01	30619614  	33046643  	2427029   
Chr01	30914450  	32152947  	1238497   
Chr01	31624502  	39578991  	7954489   
Chr01	31654372  	53488670  	21834298  
Chr01	31654637  	53488650  	21834013  
Chr01	32734788  	40781503  	8046715   
Chr01	32734982  	49097263  	16362281  
Chr01	32987537  	46503666  	13516129  
Chr01	32987747  	46503870  	13516123  
Chr01	33858572  	46503582  	12645010  
Chr01	34358095  	53211506  	18853411  
Chr01	34690590  	37065497  	2374907   
Chr01	35648110  	55374723  	19726613  
Chr01	35678287  	53489530  	17811243  
Chr01	35678518  	53489356  	17810838  
Chr01	37164685  	37196513  	31828     
Chr01	39579393  	49097266  	9517873   
Chr01	40222854  	56248902  	16026048  
Chr01	42485239  	42496129  	10890     
Chr01	42494756  	42773500  	278744    
Chr01	46197360  	50414279  	4216919   
Chr01	46505204  	46505469  	265       
Chr01	53489301  	55393006  	1903705   
Chr02	1387873   	45030911  	43643038  
Chr02	3175255   	27514647  	24339392  
Chr02	3332786   	41565394  	38232608  
Chr02	4312675   	4312843   	168       
Chr02	4901743   	36616958  	31715215  
Chr02	5229710   	5249731   	20021     
Chr02	6621757   	24257877  	17636120  
Chr02	9121173   	32694080  	23572907  
Chr02	9378464   	36181174  	26802710  
Chr02	11259293  	13759360  	2500067   
Chr02	17611257  	17611374  	117       
Chr02	18018313  	27125245  	9106932   
Chr02	18493239  	29376663  	10883424  
Chr02	18778380  	23340157  	4561777   
Chr02	18778459  	23340047  	4561588   
Chr02	19823902  	20256506  	432604    
Chr02	20528501  	25026308  	4497807   
Chr02	21373561  	33383708  	12010147  
Chr02	22482286  	25654853  	3172567   
Chr02	23935664  	38975713  	15040049  
Chr02	25434500  	27981724  	2547224   
Chr02	27232440  	32352015  	5119575   
Chr02	28860984  	37468717  	8607733   
Chr02	31751713  	34850328  	3098615   
Chr02	37406178  	38929787  	1523609   
Chr02	45688996  	45689298  	302       
Chr03	51657     	53476     	1819      
Chr03	2068567   	2263443   	194876    
Chr03	2615800   	2658172   	42372     
Chr03	2617895   	2657150   	39255     
Chr03	3059016   	8796050   	5737034   
Chr03	3060574   	8781463   	5720889   
Chr03	3270230   	36087732  	32817502  
Chr03	3439511   	33402278  	29962767  
Chr03	3439545   	33402027  	29962482  
Chr03	3783880   	18140327  	14356447  
Chr03	3784014   	18140643  	14356629  
Chr03	3784001   	18165109  	14381108  
Chr03	4028978   	4054673   	25695     
Chr03	4029653   	4200138   	170485    
Chr03	4044444   	4169873   	125429    
Chr03	4075723   	4877201   	801478    
Chr03	4123405   	4794282   	670877    
Chr03	4123503   	4794247   	670744    
Chr03	4123899   	4831471   	707572    
Chr03	4125646   	4914043   	788397    
Chr03	4149530   	4934077   	784547    
Chr03	4158902   	4874723   	715821    
Chr03	4169942   	4802391   	632449    
Chr03	4170072   	4802275   	632203    
Chr03	4199726   	4597669   	397943    
Chr03	4200122   	4794360   	594238    
Chr03	4200862   	4855032   	654170    
Chr03	4201021   	4793335   	592314    
Chr03	4218149   	4904546   	686397    
Chr03	4219069   	4903932   	684863    
Chr03	4332955   	33315063  	28982108  
Chr03	7127642   	7424757   	297115    
Chr03	7264565   	20382791  	13118226  
Chr03	7264655   	20382839  	13118184  
Chr03	9131139   	19519502  	10388363  
Chr03	9326664   	9326834   	170       
Chr03	9735588   	9744330   	8742      
Chr03	10036949  	39658279  	29621330  
Chr03	10217519  	16587653  	6370134   
Chr03	10243674  	32538537  	22294863  
Chr03	10918426  	10921579  	3153      
Chr03	11540622  	24083959  	12543337  
Chr03	11566592  	11775242  	208650    
Chr03	11998212  	15673930  	3675718   
Chr03	12217086  	22025644  	9808558   
Chr03	12873772  	27380071  	14506299  
Chr03	13091336  	15959511  	2868175   
Chr03	13383408  	15871264  	2487856   
Chr03	13800595  	35021516  	21220921  
Chr03	14028530  	34792097  	20763567  
Chr03	14096470  	41744739  	27648269  
Chr03	14767562  	14777668  	10106     
Chr03	14774489  	14777885  	3396      
Chr03	16089525  	20848542  	4759017   
Chr03	16116303  	21349744  	5233441   
Chr03	18246315  	28121915  	9875600   
Chr03	18246548  	28121988  	9875440   
Chr03	20169487  	24319164  	4149677   
Chr03	21676442  	25159439  	3482997   
Chr03	21827830  	35147314  	13319484  
Chr03	22217647  	25061771  	2844124   
Chr03	23588129  	24740592  	1152463   
Chr03	25222185  	32872839  	7650654   
Chr03	26254385  	37773254  	11518869  
Chr03	28610953  	45433869  	16822916  
Chr03	28823220  	40027187  	11203967  
Chr03	31649617  	43902241  	12252624  
Chr03	34307310  	34371175  	63865     
Chr03	35354450  	35355178  	728       
Chr03	36256547  	41795820  	5539273   
Chr03	38053601  	38090431  	36830     
Chr03	38053824  	38090252  	36428     
Chr03	40584346  	42524747  	1940401   
Chr04	1062519   	12472815  	11410296  
Chr04	2580523   	27205476  	24624953  
Chr04	3109900   	3110227   	327       
Chr04	4585819   	45270873  	40685054  
Chr04	7411519   	16076762  	8665243   
Chr04	9573809   	33841815  	24268006  
Chr04	9573979   	33841960  	24267981  
Chr04	9589826   	9833068   	243242    
Chr04	9590619   	9832000   	241381    
Chr04	10140273  	10330853  	190580    
Chr04	10317924  	34337885  	24019961  
